Block   Params  N_of_Blocks Total_Params
FBBBC	2.178	10	21.780
FBBBF	2.498	9	22.482
FBBC	1.696	13	22.048
FBBCB	2.178	10	21.780
FBBCF	2.222	10	22.220
FBBF	2.016	11	22.176
FBBFB	2.498	9	22.482
FBBFC	2.222	10	22.220
FBBFF	2.542	8	20.336
FBC	1.214	18	21.852
FBCB	1.696	13	22.048
FBCBB	2.178	10	21.780
FBCBC	1.902	11	20.922
FBCBF	2.222	10	22.220
FBCF	1.740	12	20.880
FBCFB	2.222	10	22.220
FBCFC	1.946	11	21.406
FBCFF	2.266	9	20.394
FBF	1.534	14	21.476
FBFBB	2.498	9	22.482
FBFBC	2.222	10	22.220
FBFBF	2.542	8	20.336
FBFC	1.740	12	20.880
FBFCB	2.222	10	22.220
FBFCF	2.266	9	20.394
FBFF	2.060	10	20.600
FBFFB	2.542	8	20.336
FBFFC	2.266	9	20.394
FBFFF	2.586	8	20.688
FC	0.732	29	21.228
FCB	1.214	18	21.852
FCBB	1.696	13	22.048
FCBBB	2.178	10	21.780
FCBBC	1.902	11	20.922
FCBBF	2.222	10	22.220
FCBC	1.420	15	21.300
FCBCB	1.902	11	20.922
FCBCF	1.946	11	21.406
FCBF	1.740	12	20.880
FCBFB	2.222	10	22.220
FCBFC	1.946	11	21.406
FCBFF	2.266	9	20.394
FCFB	1.740	12	20.880
FCFBB	2.222	10	22.220
FCFBC	1.946	11	21.406
FCFBF	2.266	9	20.394
FCFCB	1.946	11	21.406
FCFFB	2.266	9	20.394
FFB	1.534	14	21.476
FFBB	2.016	11	22.176
FFBBB	2.498	9	22.482
FFBBC	2.222	10	22.220
FFBBF	2.542	8	20.336
FFBC	1.740	12	20.880
FFBCB	2.222	10	22.220
FFBCF	2.266	9	20.394
FFBF	2.060	10	20.600
FFBFB	2.542	8	20.336
FFBFC	2.266	9	20.394
FFBFF	2.586	8	20.688
FFCB	1.740	12	20.880
FFCBB	2.222	10	22.220
FFCBC	1.946	11	21.406
FFCBF	2.266	9	20.394
FFCFB	2.266	9	20.394
FFFB	2.060	10	20.600
FFFBB	2.542	8	20.336
FFFBC	2.266	9	20.394
FFFBF	2.586	8	20.688
FFFCB	2.266	9	20.394
FFFFB	2.586	8	20.688
