# Format: module_config	jacob_cov_score	num_params	N of Blocks	total_params	status
['RFF', 'C', 'M', 'C', 'C']	-16.222300	1.626	12	21382656	success
['I', 'I', 'I', 'C', 'M']	-16.227844	0.688	29	21831424	success
['M', 'RFF', 'C', 'C', 'C']	-16.228996	1.626	12	21382656	success
['SFF', 'M', 'C', 'C', 'C']	-16.229841	1.626	12	21382656	success
['I', 'I', 'C', 'M', 'C']	-16.232269	0.894	22	21550592	success
['RFF', 'C', 'C', 'C', 'M']	-16.237007	1.626	12	21382656	success
['C', 'M', 'C', 'SFF', 'C']	-16.238710	1.626	12	21382656	success
['I', 'C', 'C', 'SFF', 'M']	-16.240781	1.420	14	21747712	success
['I', 'C', 'C', 'C', 'M']	-16.241747	1.101	18	21685248	success
['M', 'C', 'M', 'C', 'C']	-16.242502	1.583	13	22448896	success
['C', 'SFF', 'M', 'C', 'C']	-16.242569	1.626	12	21382656	success
['I', 'I', 'M', 'C', 'C']	-16.245429	0.894	22	21550592	success
['M', 'C', 'C', 'M', 'C']	-16.246359	1.583	13	22448896	success
['C', 'C', 'M', 'C', 'M']	-16.247559	1.583	13	22448896	success
['I', 'I', 'I', 'M', 'C']	-16.248047	0.688	29	21831424	success
['I', 'M', 'RFF', 'C', 'C']	-16.248355	1.420	14	21747712	success
['RFF', 'M', 'C', 'C', 'C']	-16.248614	1.626	12	21382656	success
['I', 'M', 'C', 'RFF', 'C']	-16.248792	1.420	14	21747712	success
['M', 'C', 'RFF', 'C', 'C']	-16.249152	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'C']	-16.250199	1.307	15	21476352	success
['I', 'M', 'C', 'C', 'M']	-16.250740	1.377	15	22520832	success
['C', 'C', 'C', 'M', 'SFF']	-16.250780	1.626	12	21382656	success
['I', 'C', 'C', 'M', 'RFF']	-16.252861	1.420	14	21747712	success
['C', 'C', 'M', 'M', 'C']	-16.259753	1.583	13	22448896	success
['C', 'C', 'C', 'RFF', 'M']	-16.260191	1.626	12	21382656	success
['C', 'SFF', 'C', 'C', 'M']	-16.261136	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'RFF']	-16.261827	1.626	12	21382656	success
['SFF', 'C', 'C', 'M', 'C']	-16.263008	1.626	12	21382656	success
['I', 'C', 'M', 'SFF', 'C']	-16.263318	1.420	14	21747712	success
['C', 'M', 'C', 'M', 'C']	-16.264052	1.583	13	22448896	success
