# Format: module_config	synflow_score	num_params	N of Blocks	total_params	status
['I', 'C', 'RFF', 'RFF', 'M']	0.002415	1.740	11	20995840	success
['I', 'I', 'RFF', 'M', 'M']	0.002412	1.490	13	21230848	success
['I', 'RFF', 'SFF', 'C', 'M']	0.002411	1.740	11	20995840	success
['I', 'RFF', 'C', 'SFF', 'M']	0.002411	1.740	11	20995840	success
['I', 'M', 'RFF', 'SFF', 'C']	0.002405	1.740	11	20995840	success
['I', 'RFF', 'M', 'SFF', 'C']	0.002404	1.740	11	20995840	success
['I', 'C', 'M', 'SFF', 'SFF']	0.002402	1.740	11	20995840	success
['I', 'SFF', 'C', 'SFF', 'M']	0.002402	1.740	11	20995840	success
['I', 'SFF', 'SFF', 'C', 'M']	0.002401	1.740	11	20995840	success
['I', 'SFF', 'C', 'M', 'SFF']	0.002401	1.740	11	20995840	success
['I', 'I', 'RFF', 'C', 'M']	0.002401	1.214	16	21286400	success
['I', 'RFF', 'C', 'RFF', 'M']	0.002399	1.740	11	20995840	success
['I', 'RFF', 'RFF', 'M', 'C']	0.002398	1.740	11	20995840	success
['I', 'I', 'M', 'M', 'RFF']	0.002396	1.490	13	21230848	success
['C', 'RFF', 'RFF', 'M', 'C']	0.002396	1.946	10	21320192	success
['I', 'C', 'M', 'RFF', 'RFF']	0.002395	1.740	11	20995840	success
['SFF', 'M', 'C', 'C', 'C']	0.002394	1.626	12	21382656	success
['I', 'SFF', 'M', 'C', 'RFF']	0.002392	1.740	11	20995840	success
['C', 'RFF', 'C', 'M', 'RFF']	0.002392	1.946	10	21320192	success
['I', 'I', 'M', 'RFF', 'M']	0.002391	1.490	13	21230848	success
['I', 'SFF', 'RFF', 'C', 'M']	0.002390	1.740	11	20995840	success
['I', 'I', 'RFF', 'M', 'C']	0.002389	1.214	16	21286400	success
['I', 'C', 'SFF', 'M', 'SFF']	0.002389	1.740	11	20995840	success
['I', 'RFF', 'C', 'M', 'SFF']	0.002387	1.740	11	20995840	success
['C', 'SFF', 'RFF', 'C', 'M']	0.002387	1.946	10	21320192	success
['C', 'M', 'SFF', 'C', 'C']	0.002387	1.626	12	21382656	success
['I', 'C', 'RFF', 'M', 'RFF']	0.002387	1.740	11	20995840	success
['C', 'RFF', 'RFF', 'C', 'M']	0.002385	1.946	10	21320192	success
