# Format: module_config	jacob_cov_score	synflow_score	num_params	N of Blocks	total_params	status
# Top 80 models by jacob_cov score (rank 1-80), sorted by synflow score (descending)
# Total: 80 models

['SFF', 'M', 'C', 'C', 'C']	-16.229841	0.002394	1.626	12	21382656	success
['C', 'M', 'SFF', 'C', 'C']	-16.273157	0.002387	1.626	12	21382656	success
['I', 'I', 'M', 'C', 'C']	-16.245429	0.002372	0.894	22	21550592	success
['C', 'SFF', 'C', 'C', 'M']	-16.261136	0.002369	1.626	12	21382656	success
['I', 'I', 'C', 'M', 'C']	-16.232269	0.002357	0.894	22	21550592	success
['M', 'C', 'C', 'C', 'RFF']	-16.277050	0.002357	1.626	12	21382656	success
['C', 'C', 'RFF', 'C', 'M']	-16.271808	0.002356	1.626	12	21382656	success
['C', 'M', 'RFF', 'C', 'C']	-16.310825	0.002356	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'C']	-16.250199	0.002355	1.307	15	21476352	success
['M', 'RFF', 'C', 'C', 'C']	-16.228996	0.002354	1.626	12	21382656	success
['C', 'C', 'C', 'RFF', 'M']	-16.260191	0.002354	1.626	12	21382656	success
['SFF', 'C', 'M', 'C', 'C']	-16.280941	0.002352	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'SFF']	-16.314490	0.002352	1.626	12	21382656	success
['I', 'I', 'I', 'C', 'M']	-16.227844	0.002350	0.688	29	21831424	success
['C', 'SFF', 'M', 'C', 'C']	-16.242569	0.002350	1.626	12	21382656	success
['C', 'RFF', 'C', 'M', 'C']	-16.291919	0.002350	1.626	12	21382656	success
['M', 'C', 'RFF', 'C', 'C']	-16.249152	0.002348	1.626	12	21382656	success
['C', 'M', 'C', 'C', 'RFF']	-16.276379	0.002348	1.626	12	21382656	success
['RFF', 'C', 'C', 'M', 'C']	-16.304526	0.002348	1.626	12	21382656	success
['I', 'C', 'M', 'C', 'C']	-16.272835	0.002345	1.101	18	21685248	success
['I', 'I', 'C', 'C', 'M']	-16.283442	0.002345	0.894	22	21550592	success
['C', 'C', 'C', 'C', 'M']	-16.295884	0.002344	1.307	15	21476352	success
['C', 'C', 'C', 'M', 'SFF']	-16.250780	0.002342	1.626	12	21382656	success
['C', 'C', 'SFF', 'C', 'M']	-16.274208	0.002342	1.626	12	21382656	success
['RFF', 'C', 'M', 'C', 'C']	-16.222300	0.002339	1.626	12	21382656	success
['RFF', 'M', 'C', 'C', 'C']	-16.248614	0.002337	1.626	12	21382656	success
['C', 'C', 'C', 'SFF', 'M']	-16.310737	0.002337	1.626	12	21382656	success
['C', 'M', 'C', 'C', 'SFF']	-16.298991	0.002336	1.626	12	21382656	success
['C', 'C', 'RFF', 'M', 'C']	-16.307186	0.002336	1.626	12	21382656	success
['I', 'C', 'M', 'RFF', 'C']	-16.301457	0.002333	1.42	14	21747712	success
['C', 'M', 'C', 'SFF', 'C']	-16.238710	0.002332	1.626	12	21382656	success
['M', 'C', 'SFF', 'C', 'C']	-16.292310	0.002331	1.626	12	21382656	success
['C', 'RFF', 'C', 'C', 'M']	-16.266113	0.002330	1.626	12	21382656	success
['C', 'RFF', 'M', 'C', 'C']	-16.272405	0.002330	1.626	12	21382656	success
['I', 'C', 'C', 'M', 'C']	-16.270737	0.002329	1.101	18	21685248	success
['I', 'C', 'M', 'C', 'SFF']	-16.298354	0.002328	1.42	14	21747712	success
['RFF', 'C', 'C', 'C', 'M']	-16.237007	0.002327	1.626	12	21382656	success
['C', 'C', 'C', 'M', 'RFF']	-16.295671	0.002326	1.626	12	21382656	success
['C', 'C', 'M', 'C', 'RFF']	-16.261827	0.002325	1.626	12	21382656	success
['I', 'RFF', 'M', 'C', 'C']	-16.270037	0.002325	1.42	14	21747712	success
['I', 'RFF', 'C', 'M', 'C']	-16.296418	0.002325	1.42	14	21747712	success
['SFF', 'C', 'C', 'M', 'C']	-16.263008	0.002324	1.626	12	21382656	success
['I', 'SFF', 'C', 'M', 'C']	-16.274054	0.002324	1.42	14	21747712	success
